epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1895.77,2.0892,0.81094,0.77081,0.51651,0.33102,0.32403,0.07491,3.57847,3.00042,0.79825,0.000199967,0.000199967,0.0402016
2,3442.35,1.50004,0.53413,0.74153,0.61213,0.39741,0.42707,0.10431,3.49998,2.58886,0.80001,0.000398882,0.000398882,0.0304005
3,4983.79,1.2642,0.45896,0.73456,0.55813,0.23561,0.29983,0.06861,3.40841,3.90316,0.78678,0.000593477,0.000593477,0.0205951
4,6516.84,1.13187,0.41536,0.73156,0.28057,0.40167,0.29441,0.0716,3.33607,3.99197,0.77773,0.000780586,0.000780586,0.0107822
5,8037.67,1.02597,0.38813,0.72879,0.29745,0.35595,0.29814,0.06761,3.7862,3.97749,0.82336,0.000957173,0.000957173,0.000958834
6,9562.29,0.92654,0.35323,0.729,0.2969,0.29707,0.26338,0.06933,3.49736,4.66486,0.79071,0.000933683,0.000933683,0.000933683
7,11092.8,0.8476,0.33267,0.72378,0.32972,0.33481,0.27931,0.07245,3.39997,4.39273,0.78353,0.000905463,0.000905463,0.000905463
8,12623.9,0.78636,0.31163,0.72659,0.34971,0.23843,0.25116,0.06476,3.48062,5.12523,0.7887,0.000872857,0.000872857,0.000872857
9,14154.3,0.73764,0.29851,0.72649,0.35592,0.30289,0.28087,0.07706,3.27877,4.77999,0.77635,0.00083622,0.00083622,0.00083622
10,15681.6,0.7,0.28717,0.72462,0.33558,0.27284,0.26025,0.07345,3.39459,5.00239,0.78191,0.000795954,0.000795954,0.000795954
11,17201.5,0.65566,0.27523,0.72291,0.27335,0.25706,0.21238,0.05941,3.40015,4.86122,0.78508,0.0007525,0.0007525,0.0007525
12,18722.2,0.63854,0.26673,0.72178,0.30892,0.21565,0.22619,0.06052,3.58298,5.22754,0.79377,0.000706335,0.000706335,0.000706335
13,20252.7,0.60519,0.25603,0.72465,0.31036,0.22893,0.22951,0.06292,3.40089,5.22789,0.77748,0.000657963,0.000657963,0.000657963
14,21771,0.59422,0.25189,0.72197,0.28865,0.20756,0.21353,0.0604,3.38312,5.40022,0.7783,0.000607916,0.000607916,0.000607916
15,23293,0.55627,0.23879,0.72188,0.27575,0.2142,0.21009,0.0569,3.41575,5.31433,0.78014,0.000556742,0.000556742,0.000556742
16,24812,0.5437,0.23607,0.72089,0.22325,0.21362,0.18288,0.04975,3.4557,5.28492,0.78659,0.000505,0.000505,0.000505
17,26328.1,0.52382,0.22934,0.71927,0.25607,0.19283,0.18279,0.0495,3.46079,5.46352,0.78734,0.000453258,0.000453258,0.000453258
18,27845.1,0.4975,0.21961,0.71976,0.25458,0.19999,0.18797,0.05119,3.44552,5.37986,0.78319,0.000402084,0.000402084,0.000402084
19,29628,0.47947,0.21245,0.71992,0.21252,0.19416,0.16905,0.04578,3.47355,5.46301,0.78651,0.000352037,0.000352037,0.000352037
20,31148.4,0.46502,0.20733,0.71884,0.23739,0.20139,0.18991,0.05218,3.42547,5.42785,0.77966,0.000303665,0.000303665,0.000303665
21,32677,0.43959,0.19968,0.72033,0.2227,0.21012,0.18346,0.05086,3.42015,5.2808,0.7802,0.0002575,0.0002575,0.0002575
22,34998,0.42451,0.19396,0.72004,0.19909,0.19824,0.1661,0.04498,3.4353,5.4546,0.7814,0.000214046,0.000214046,0.000214046
